"id","foreign_key_id","source","required_skill","skill_esco","is_new_skill","skill_type","reuselevel"
"80","189997","careerjet","Experience with cloud-based technologies such as Google Cloud Platform (GCP)","cloud technologies","0","knowledge","sector-specific"
"81","189997","careerjet","Strong understanding of computer science fundamentals","teach computer science","0","skill/competence","sector-specific"
"82","189997","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"83","189999","careerjet","Proficiency in at least one programming language (C++, Java, Python, etc.)","computer programming","0","knowledge","transversal"
"84","189999","careerjet","Experience with data structures, algorithms, and software design patterns","computer programming","0","knowledge","transversal"
"85","189999","careerjet","Strong understanding of computer science fundamentals","teach computer science","0","skill/competence","sector-specific"
"86","189999","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"87","190000","careerjet","Proficiency in at least one programming language (e.g., Java, Python, C++)","computer programming","0","knowledge","transversal"
"88","190000","careerjet","Experience with data structures, algorithms, and software design patterns","computer programming","0","knowledge","transversal"
"89","190000","careerjet","Strong understanding of computer science fundamentals","teach computer science","0","skill/competence","sector-specific"
"90","190000","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"91","190001","careerjet","Proficiency in programming languages such as Java, Python, or C++","computer programming","0","knowledge","transversal"
"92","190001","careerjet","Experience with cloud-based technologies like Google Cloud Platform (GCP)","cloud technologies","0","knowledge","sector-specific"
"93","190001","careerjet","Strong understanding of computer science fundamentals","teach computer science","0","skill/competence","sector-specific"
"94","190001","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"95","190002","careerjet","Proficiency in programming languages such as Java, Python, or C++","computer programming","0","knowledge","transversal"
"96","190002","careerjet","Experience with cloud-based technologies like Google Cloud Platform (GCP)","cloud technologies","0","knowledge","sector-specific"
"97","190002","careerjet","Strong understanding of computer science fundamentals and software engineering principles","computer programming","0","knowledge","transversal"
"98","190002","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"99","190003","careerjet","Proficiency in Java or C++","c++","0","knowledge","sector-specific"
"100","190003","careerjet","Experience with cloud-based technologies like Google Cloud Platform (GCP)","cloud technologies","0","knowledge","sector-specific"
"101","190003","careerjet","Strong understanding of data structures and algorithms","algorithms","0","knowledge","cross-sector"
"102","190003","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"103","190004","careerjet","Proficiency in Java or C++","c++","0","knowledge","sector-specific"
"104","190004","careerjet","Experience with cloud-based technologies like Google Cloud Platform (GCP)","cloud technologies","0","knowledge","sector-specific"
"105","190004","careerjet","Strong understanding of computer science fundamentals","teach computer science","0","skill/competence","sector-specific"
"106","190004","careerjet","Excellent problem-solving skills and attention to detail","attention to detail","0","knowledge","cross-sector"
"107","190005","careerjet","Proficiency in programming languages such as Java, Python, or C++","computer programming","0","knowledge","transversal"
"108","190005","careerjet","Experience with data structures, algorithms, and software design patterns","computer programming","0","knowledge","transversal"
"109","190006","careerjet","Strong communication skills","be attentive","0","skill/competence","occupation-specific"
"110","190006","careerjet","High ability to communicate with customers and cooperation with team members","be attentive","0","skill/competence","occupation-specific"
"111","190006","careerjet","Sales orientation","sales activities","0","knowledge","sector-specific"
"112","190006","careerjet","Result-oriented","apply business acumen","0","skill/competence","cross-sector"
"113","190006","careerjet","Product knowledge","product comprehension","0","knowledge","sector-specific"
"114","190006","careerjet","Get familiar with fashion trends and products","apply fashion trends to footwear and leather goods","0","skill/competence","sector-specific"
"115","190006","careerjet","Positive attitude","demonstrate enthusiasm","0","skill/competence","transversal"
"116","190006","careerjet","Friendly approach which makes customers feel welcome","manage the customer experience","0","skill/competence","cross-sector"
"117","190006","careerjet","Adaptability","adapt to change","0","skill/competence","transversal"
"118","190006","careerjet","Flexibility for work in various roles fund warehouse etc.","manage warehouse organisation","0","skill/competence","cross-sector"
"119","190006","careerjet","Commitment to support colleagues and contribute to a positive work environment","support colleagues","0","skill/competence","transversal"
"120","190007","careerjet","Passion for the car","drive vehicles","0","skill/competence","cross-sector"
"121","190007","careerjet","Excellent organizational and communication skills","be attentive","0","skill/competence","occupation-specific"
"122","190007","careerjet","Professional consistency and customer-centric perception","demonstrate professional attitude to clients","0","skill/competence","cross-sector"
"123","190009","careerjet","Team spirit","team building","0","knowledge","occupation-specific"
"124","190009","careerjet","Communication skills","communication principles","0","knowledge","cross-sector"
"125","190009","careerjet","Disposal for learning and development","dispose waste","0","skill/competence","cross-sector"
"126","190010","careerjet","English language","english","0","knowledge","transversal"
"127","190010","careerjet","Team spirit","team building","0","knowledge","occupation-specific"
"128","190010","careerjet","Self-inciting and responsibility","accept own accountability","0","skill/competence","sector-specific"
"129","190010","careerjet","Organizational skills","work in an organised manner","0","skill/competence","cross-sector"
"130","190010","careerjet","Attention to details","attention to detail","0","knowledge","cross-sector"
"131","190011","careerjet","Excellent communication and negotiation skills","be attentive","0","skill/competence","occupation-specific"
"132","190011","careerjet","Very good computer knowledge (Excel, Outlook, Word)","have computer literacy","0","skill/competence","cross-sector"
"133","190011","careerjet","Knowledge of English in spoken and written speech","understand written english","0","skill/competence","transversal"
"134","190012","careerjet","Team spirit","team building","0","knowledge","occupation-specific"
"135","190012","careerjet","Communication skills","communication principles","0","knowledge","cross-sector"
"136","190012","careerjet","Disposal for learning and development","dispose waste","0","skill/competence","cross-sector"
"137","190013","careerjet","Passion for cooking and love making delicious dishes of fresh ingredients","make artistic food creations","0","skill/competence","cross-sector"
"138","565090","jobfind","Skills in written communication","communication","0","knowledge","cross-sector"
"139","565090","jobfind","Developed organizational skills","work in an organised manner","0","skill/competence","cross-sector"
"140","565090","jobfind","Definition of priorities and achievement of quality results","set quality assurance objectives","0","skill/competence","cross-sector"
"141","565090","jobfind","Responsibility group spirit","show responsibility","0","skill/competence","cross-sector"
"142","565090","jobfind","Competence of strict compliance with procedures and timetables","comply with schedule","0","skill/competence","cross-sector"
"143","565090","jobfind","Adaptability","adapt to change","0","skill/competence","transversal"
"144","565090","jobfind","Knowledge of use Autocad","create autocad drawings","0","skill/competence","cross-sector"
"145","565090","jobfind","Knowledge of use Excel","use microsoft office","0","skill/competence","cross-sector"
"146","565090","jobfind","No experience required","use a computer","0","skill/competence","cross-sector"
"147","565091","jobfind","Written communication skills in written communication","communication","0","knowledge","cross-sector"
"148","565091","jobfind","Developed organizational skills","work in an organised manner","0","skill/competence","cross-sector"
"149","565091","jobfind","Definition of priorities and achievement of quality results","set quality assurance objectives","0","skill/competence","cross-sector"
"150","565091","jobfind","Responsibility group spirit","show responsibility","0","skill/competence","cross-sector"
"151","565091","jobfind","Competence of strict compliance with procedures and schedules","follow work procedures","0","skill/competence","cross-sector"
"152","565091","jobfind","Adaptability","adapt to change","0","skill/competence","transversal"
"153","565091","jobfind","Knowledge of use Excel","use microsoft office","0","skill/competence","cross-sector"
"154","565098","jobfind","Excellent computer handling knowledge (Word, Excel, Power Point)","office software","0","knowledge","cross-sector"
"155","565098","jobfind","Excellent knowledge of handling Business Outlook, OnDrive, Teams","office software","0","knowledge","cross-sector"
"156","565098","jobfind","Very good knowledge of English language (vocals and writings)","english","0","knowledge","transversal"
"157","565098","jobfind","Excellent computer program management knowledge","own management skills","0","skill/competence","occupation-specific"
"158","565099","jobfind","Excellent verbal and written communication skills in English","english","0","knowledge","transversal"
"159","565099","jobfind","Knowledge of additional languages is an advantage","speak different languages","0","skill/competence","cross-sector"
"160","565099","jobfind","Proficiency in Microsoft Office and Outlook","office software","0","knowledge","cross-sector"
"161","565099","jobfind","Familiarity with managing online I D S platforms or a strong aptitude for learning online tools","have computer literacy","0","skill/competence","cross-sector"
"162","565099","jobfind","Knowledge of Pylon PM S is preferred","electrical wiring diagrams","0","knowledge","cross-sector"
"163","565099","jobfind","Experience with any PM S software is essential","industrial software","0","knowledge","cross-sector"
"164","565099","jobfind","Excellent attention to detail and functionality to stay focused under pressure","attention to detail","0","knowledge","cross-sector"
"165","565099","jobfind","Genuine interest in customer service with a warm and professional demeanor","establish customer rapport","0","skill/competence","cross-sector"
"166","565099","jobfind","Strong communication, negotiation, and organizational skills","promote communication between parties","0","skill/competence","occupation-specific"
"167","565099","jobfind","A cooperative positive attitude with a proactive approach to problem-solving","cooperate with colleagues","0","skill/competence","cross-sector"
"168","565100","jobfind","Team spirit","team building","0","knowledge","occupation-specific"
"169","565100","jobfind","Courtesy","demonstrate consideration","0","skill/competence","transversal"
"170","565100","jobfind","Smile","use positive language","0","skill/competence","sector-specific"
"171","565100","jobfind","Knowledge English language","english","0","knowledge","transversal"
"172","565103","jobfind","Adobe Suite (Da Vinci Resolve / Studio - After Effects)","use creative suite software","0","skill/competence","occupation-specific"
"173","565103","jobfind","Knowledge of trends in social media direction/scenario skills","stay up to date with social media","0","skill/competence","sector-specific"
"174","565103","jobfind","Time management ability","manage time","0","skill/competence","transversal"
"175","565103","jobfind","Maintaining deadlines and managing multiple customer projects","manage several projects","0","skill/competence","cross-sector"
"176","565103","jobfind","Knowledge of static and conceptual photography/videography","cinematography","0","knowledge","sector-specific"
"177","565103","jobfind","Portfolio with work samples will be highly appreciated","maintain an artistic portfolio","0","skill/competence","sector-specific"
"178","565103","jobfind","Personal work tools such as camera lens or state-of-the-art mobile will be highly appreciated","select auxiliary equipment for photographic work","0","skill/competence","sector-specific"
"179","565104","jobfind","Enthusiastic personality","demonstrate enthusiasm","0","skill/competence","transversal"
"180","565104","jobfind","Excellent spirit of cooperation","cooperate with colleagues","0","skill/competence","cross-sector"
"181","565104","jobfind","High sense of cleanliness","maintain personal hygiene standards","0","skill/competence","cross-sector"
"182","565104","jobfind","Attention to detail","attention to detail","0","knowledge","cross-sector"
"183","565104","jobfind","Professional appearance and behavior","take care of personal appearance","0","skill/competence","cross-sector"
"184","565104","jobfind","Full insurance with repo prospects and long term collaboration","advise on insurance policies","0","skill/competence","sector-specific"
"185","565105","jobfind","Clean person","maintain personal hygiene standards when cleaning","0","skill/competence","sector-specific"
"186","565111","jobfind","Excellent knowledge of Microsoft Office","use microsoft office","0","skill/competence","cross-sector"
"187","565111","jobfind","Familiarity with new technologies","learning technologies","0","knowledge","sector-specific"
"188","565111","jobfind","Excellent level of communication and negotiation","promote communication between parties","0","skill/competence","occupation-specific"
"189","565111","jobfind","Full-time work on a daily basis","work in shifts","0","skill/competence","cross-sector"
"190","565115","jobfind","Knowledge of Greek language","greek","0","knowledge","transversal"
"191","565115","jobfind","Consequence and professionalism","show professional responsibility","0","skill/competence","cross-sector"
"192","565115","jobfind","Transport medium group spirit","carry objects","0","skill/competence","sector-specific"
"193","565115","jobfind","Preservice in oven or production line","operate industrial ovens","0","skill/competence","sector-specific"
"194","565116","jobfind","Knowledge of Greek and English","greek","0","knowledge","transversal"
"195","565116","jobfind","Team management capacity of at least 5 persons","manage staff","0","skill/competence","cross-sector"
"196","565116","jobfind","Consequence and professionalism","show professional responsibility","0","skill/competence","cross-sector"
"197","565116","jobfind","Transport group spirit","implement transport strategy","0","skill/competence","cross-sector"
"198","565116","jobfind","Disposal for development","dispose waste","0","skill/competence","cross-sector"
"199","565116","jobfind","Knowledge to use bakery machinery","ensure correct use of bakery equipment","0","skill/competence","sector-specific"
"200","565405","jobfind","Pleasant personality","psychology","0","knowledge","cross-sector"
"201","565405","jobfind","Group spirit","team building","0","knowledge","occupation-specific"
"202","565405","jobfind","Satisfaction level","satisfy customers","0","skill/competence","cross-sector"
"203","565406","jobfind","Knowledge of banking structures, products and operations","banking activities","0","knowledge","cross-sector"
"204","565406","jobfind","Familiarity with data architecture and database systems","data models","0","knowledge","sector-specific"
"205","565406","jobfind","Hands-on experience with business intelligence technologies such as SQL","business intelligence","0","knowledge","cross-sector"
"206","565406","jobfind","Hands-on experience with Microsoft Office, such as PowerPoint and Excel","office software","0","knowledge","cross-sector"
"207","565407","jobfind","Excellent organizational and communication skills","be attentive","0","skill/competence","occupation-specific"
"208","565407","jobfind","Speed and perception facilities","effective perception of transport environment","0","knowledge","cross-sector"
"209","565407","jobfind","Pleasant personality in a team spirit of cooperation","work as a team","0","skill/competence","cross-sector"
"210","565411","jobfind","Knowledge of PC and MS Office","office software","0","knowledge","cross-sector"
"211","565411","jobfind","Familiar with commercial programs","use it systems for commercial purposes","0","skill/competence","sector-specific"
"212","565411","jobfind","Pleasant and positive mood","demonstrate enthusiasm","0","skill/competence","transversal"
"213","565411","jobfind","Organizational team spirit","work as a team","0","skill/competence","cross-sector"
"214","565412","jobfind","Possibility of working in afternoon-evening hours","work in shifts","0","skill/competence","cross-sector"
"215","565412","jobfind","Consistency","adjust solutions' consistency","0","skill/competence","cross-sector"
"216","565412","jobfind","Willingness to work as part of a group","work in teams","0","skill/competence","transversal"
"217","565413","jobfind","communication skills","communication principles","0","knowledge","cross-sector"
"218","565413","jobfind","team capacity","identify necessary human resources","0","skill/competence","cross-sector"
"219","565413","jobfind","previous experience in customer service or coffee preparation","educate customers on coffee varieties","0","skill/competence","sector-specific"
"220","565413","jobfind","positive mood and professional behavior","demonstrate enthusiasm","0","skill/competence","transversal"
"221","565413","jobfind","love for gaming","attract gamers","0","skill/competence","sector-specific"
"222","565420","jobfind","Excellent knowledge of Greek and English","greek","0","knowledge","transversal"
"223","565420","jobfind","Knowledge of basic service principles","characteristics of services","0","knowledge","sector-specific"
"224","565420","jobfind","Willingness for professional development","provide mentorship","0","skill/competence","cross-sector"
"225","565420","jobfind","Communication skills","communication principles","0","knowledge","cross-sector"
"226","565420","jobfind","Team spirit and courtesy","show good manners with players","0","skill/competence","sector-specific"
"227","565421","jobfind","Necessary knowledge of English","english","0","knowledge","transversal"
"228","565423","jobfind","Knowledge of English","english","0","knowledge","transversal"
"229","565423","jobfind","Professional behavior","show professional responsibility","0","skill/competence","cross-sector"
"230","565423","jobfind","Patience and ability to maintain a positive attitude in pressure conditions","cope with pressure","0","skill/competence","transversal"
"231","565423","jobfind","Group spirit and good communication skills","work as a team","0","skill/competence","cross-sector"
"232","565423","jobfind","Nobility, consistency and responsibility","show responsibility","0","skill/competence","cross-sector"
"233","565424","jobfind","Excellent communication and negotiating skills","promote communication between parties","0","skill/competence","occupation-specific"
"234","565424","jobfind","Extroversion and dynamism","exude enthusiasm during the action sessions","0","skill/competence","occupation-specific"
"235","565426","jobfind","Knowledge of English","english","0","knowledge","transversal"
"236","565426","jobfind","Group spirit","team building","0","knowledge","occupation-specific"
"237","565426","jobfind","Professionalism","show professional responsibility","0","skill/competence","cross-sector"
"238","565426","jobfind","Adaptability","adapt to change","0","skill/competence","transversal"
"239","565426","jobfind","Flexibility","cope with pressure","0","skill/competence","transversal"
"240","565426","jobfind","Organisation","organisational structure","0","knowledge","cross-sector"
"241","565426","jobfind","Initiative","work independently","0","skill/competence","transversal"
"242","565426","jobfind","Creativity","create new concepts","0","skill/competence","cross-sector"
"243","565426","jobfind","Knowledge of English","english","0","knowledge","transversal"
"244","565430","jobfind","Knowledge of using basic tools","machine tools","0","knowledge","sector-specific"
"245","565430","jobfind","Experience in industrial environment","industrial engineering","0","knowledge","cross-sector"
"246","565435","jobfind","Excellent use of English language skills","english","0","knowledge","transversal"
"247","565435","jobfind","Communication skills","communication principles","0","knowledge","cross-sector"
"248","565435","jobfind","Consistency and negotiation orientation in customer service","communicate with customers","0","skill/competence","cross-sector"
"249","565435","jobfind","Flexibility","cope with pressure","0","skill/competence","transversal"
"250","565435","jobfind","Observation perception facilities","monitor exhibition designs","0","skill/competence","occupation-specific"
"251","565435","jobfind","Very good knowledge of the English language","english","0","knowledge","transversal"
"252","565437","jobfind","Excellent knowledge of English","english","0","knowledge","transversal"
"253","565440","jobfind","Knowledge of English","english","0","knowledge","transversal"
"254","565440","jobfind","Motorcycle facilities","maintain motorcycle records","0","skill/competence","sector-specific"
"255","565441","jobfind","Excellent communication skills","be attentive","0","skill/competence","occupation-specific"
"256","565441","jobfind","Pleasant personality","psychology","0","knowledge","cross-sector"
"257","565441","jobfind","Trading capacity","trading law","0","knowledge","cross-sector"
"258","565441","jobfind","Organized","work in an organised manner","0","skill/competence","cross-sector"
"259","565441","jobfind","B2B experience","sell telecommunication products","0","skill/competence","sector-specific"
"260","565441","jobfind","Travelability","analyse ways to reduce travel time","0","skill/competence","sector-specific"
"261","565441","jobfind","Professional appearance","take care of personal appearance","0","skill/competence","cross-sector"
"262","565441","jobfind","Team spirit of cooperation","work as a team","0","skill/competence","cross-sector"
"263","565443","jobfind","AutoCAD","cadd software","0","knowledge","cross-sector"
"264","565443","jobfind","Excel","use spreadsheets","0","skill/competence","cross-sector"
"265","565444","jobfind","English verbal and written","write english","0","skill/competence","transversal"
"266","565444","jobfind","Computer literacy","have computer literacy","0","skill/competence","cross-sector"
"267","565444","jobfind","Knowledge of retail audit databases usage","audit techniques","0","knowledge","cross-sector"
"268","565445","jobfind","Excellent use of English language (written and spoken), use of computer and office applications, communication skills, ability and time management, orientation to detail and desired result, perception, organization and methodology","communicate in english in a competent way","0","skill/competence","sector-specific"
"269","565445","jobfind","Ability to work with excellent English language skills","english","0","knowledge","transversal"
"270","565447","jobfind","Developed communication skills","communication","0","knowledge","cross-sector"
"271","565447","jobfind","Writing and oral access","communication","0","knowledge","cross-sector"
"272","565447","jobfind","Excellent computer knowledge","have computer literacy","0","skill/competence","cross-sector"
"273","565447","jobfind","MS Office","office software","0","knowledge","cross-sector"
"274","565447","jobfind","Internet experience","internet governance","0","knowledge","sector-specific"
"275","565447","jobfind","ERP programs","manage standard enterprise resource planning system","0","skill/competence","sector-specific"
"276","565448","jobfind","Communication","communication","0","knowledge","cross-sector"
"277","565448","jobfind","Business skills","business knowledge","0","knowledge","sector-specific"
"278","565448","jobfind","Appearance","take care of personal appearance","0","skill/competence","cross-sector"
"279","565448","jobfind","Disposal","dispose waste","0","skill/competence","cross-sector"
"280","565448","jobfind","Ambition for professional development","manage personal professional development","0","skill/competence","cross-sector"
"281","565448","jobfind","Computer knowledge","have computer literacy","0","skill/competence","cross-sector"
"282","565448","jobfind","English","english","0","knowledge","transversal"
"283","565448","jobfind","Retail sales experience","sales activities","0","knowledge","sector-specific"
"284","565448","jobfind","Good communication and business skills","be attentive","0","skill/competence","occupation-specific"
"285","565448","jobfind","Professional appearance","take care of personal appearance","0","skill/competence","cross-sector"
"286","565448","jobfind","Ability to work well with others","show social competences","0","skill/competence","cross-sector"
"287","565448","jobfind","Basic computer knowledge","use ict hardware","0","skill/competence","sector-specific"
"288","565448","jobfind","Knowledge of English","english","0","knowledge","transversal"
"289","565450","jobfind","Excellent organizational skills","work in an organised manner","0","skill/competence","cross-sector"
"290","565450","jobfind","Good communication skills","be attentive","0","skill/competence","occupation-specific"
"291","565450","jobfind","Team spirit and cooperation","team building","0","knowledge","occupation-specific"
"292","565450","jobfind","Pleasant personality","psychology","0","knowledge","cross-sector"
"293","565457","jobfind","Necessary knowledge of English","english","0","knowledge","transversal"
"294","565458","jobfind","Very good communication skills (written and oral)","be attentive","0","skill/competence","occupation-specific"
"295","565458","jobfind","Organisational skills","work in an organised manner","0","skill/competence","cross-sector"
"296","565458","jobfind","Teamwork responsibility","work in teams","0","skill/competence","transversal"
"297","565458","jobfind","Attention to detail","attention to detail","0","knowledge","cross-sector"
"298","565460","jobfind","Photoshop","adobe photoshop","0","knowledge","sector-specific"
"299","565460","jobfind","Illustrator","adobe illustrator","0","knowledge","sector-specific"
"300","565460","jobfind","InDesign","use typesetting software","0","skill/competence","sector-specific"
"301","565460","jobfind","Printing knowledge","printing techniques","0","knowledge","cross-sector"
"302","565460","jobfind","Photo knowledge","photography","0","knowledge","cross-sector"
"303","565460","jobfind","Disposal for continuous education and personal development","dispose waste","0","skill/competence","cross-sector"
"304","565463","jobfind","High level English vocals and writings","write voice-overs","0","skill/competence","sector-specific"
"305","565463","jobfind","Customer complaints management","handle customer complaints","0","skill/competence","cross-sector"
"306","565463","jobfind","Communication skills","communication principles","0","knowledge","cross-sector"
"307","565463","jobfind","Computer knowledge (Excel, Word, PowerPoint)","office software","0","knowledge","cross-sector"
"308","565463","jobfind","Cooking engine responsibility","operation of different engines","0","knowledge","sector-specific"
"309","565463","jobfind","Teamwork and friendly behavior","teamwork principles","0","knowledge","cross-sector"
"310","565463","jobfind","Conception and time management","manage time","0","skill/competence","transversal"
"311","565463","jobfind","Ability to work flexible hours","cope with challenging demands","0","skill/competence","sector-specific"
"312","565463","jobfind","Focus on detail","attend to detail","0","skill/competence","transversal"
"313","565463","jobfind","Experience in similar work","perform occupation analyses","0","skill/competence","sector-specific"
"314","565463","jobfind","High level of English proficiency","english","0","knowledge","transversal"
"315","565465","jobfind","Communication skills","communication principles","0","knowledge","cross-sector"
"316","565465","jobfind","Consistency and professionalism","show professional responsibility","0","skill/competence","cross-sector"
"317","565465","jobfind","Knowledge of laser treatments (face and body)","use laser therapy for skin conditions","0","skill/competence","sector-specific"
