"id","foreign_key_id","source","qualification","eqf_level"
"172","565497","jobfind","University degree in Electrical or Electronic Engineering or equivalent","6"
"173","565497","jobfind","4-5 years of advanced experience in the renewable energy sector","0"
"174","565498","jobfind","Pre-service in a corresponding position","0"
"175","565499","jobfind","Previous sales experience","0"
"176","565501","jobfind","Previous experience in a respective position","0"
"177","565502","jobfind","High school graduate or I.E.K. holder","4"
"178","565502","jobfind","Certificate of health interest","2"
"179","565503","jobfind","Active unemployment card","0"
"180","565505","jobfind","Experience in a forwarding or logistics company","0"
"181","565506","jobfind","At least 1 year experience","0"
"182","565508","jobfind","High school graduate / IK holder","4"
"183","565508","jobfind","Holder of a third-class driving license","2"
"184","565508","jobfind","Previous service at least 3 years in a corresponding position","0"
"185","565508","jobfind","Basic knowledge H/Y towing machine operator license (Clark will be considered an additional qualification)","2"
"186","565508","jobfind","High school graduate or equivalent","4"
"187","565508","jobfind","Third-class driving license","2"
"188","565508","jobfind","At least 3 years of experience in a similar role","0"
"189","565509","jobfind","Previous experience as a waiter or in the hospitality industry is preferred","0"
"190","565511","jobfind","Security permit","0"
"191","565512","jobfind","Holder of a Class D, E, I Diploma","4"
"192","565514","jobfind","Required experience","0"
"193","565521","jobfind","previous experience in a similar field","0"
"194","565523","jobfind","Driving diploma","2"
"195","565524","jobfind","Car license","0"
"196","565527","jobfind","High school certificate","3"
"197","565527","jobfind","Desired experience in a similar position","0"
"198","565532","jobfind","Fulfilled military obligations","0"
"199","565532","jobfind","Degree in technical direction/technical vehicles","6"
"200","565532","jobfind","Driving license","2"
"201","565535","jobfind","High School Certificate","4"
"202","565535","jobfind","At least one year of experience in retail trade","0"
"203","565537","jobfind","Degree in A.E.I./T.E.I.","6"
"204","565537","jobfind","Previous experience in a corresponding position (1-3 years)","0"
"205","565538","jobfind","Driver's license","2"
"206","565538","jobfind","Desired military service but not required","0"
"207","565538","jobfind","Unemployment card desired","0"
"208","565539","jobfind","Required work experience in a corresponding position","0"
"209","565539","jobfind","Completed military obligations (not necessary)","0"
"210","565539","jobfind","Holder of a diploma B or C category","5"
"211","565539","jobfind","Holder of an I in force for guide C","2"
"212","565540","jobfind","Drivers license","2"
"213","565540","jobfind","Degree in Electrical Engineering (considered an additional qualification)","6"
"214","565540","jobfind","Pre-service in the industry (considered an additional qualification)","0"
"215","565541","jobfind","Proven experience in using Clark's","0"
"216","565541","jobfind","Previous experience as a Clark Operator (at least 2 years)","0"
"217","565543","jobfind","Previous service desired but not necessary","0"
"218","565544","jobfind","Pre-service experience in a corresponding position","0"
"219","565546","jobfind","Degree in related fields (Business Administration, Marketing, Communication, Public Relations, Tourism)","6"
"220","565546","jobfind","At least 5 years of experience in a corresponding position","0"
"221","565550","jobfind","Pre-service desired","3"
"222","565551","jobfind","Degree in Economic Direction","6"
"223","565551","jobfind","At least one year of experience in a corresponding position in bibliographic books","0"
"224","565551","jobfind","Apprenticeship for education commentary","5"
"225","565552","jobfind","At least two years in construction experience","0"
"226","565553","jobfind","Engineering technical school te i","5"
"227","565553","jobfind","Pre-service in a corresponding position","0"
"228","565553","jobfind","Fulfilled military obligations","0"
"229","565553","jobfind","Education prospects of professional and economic development","4"
"230","565556","jobfind","Desired experience in a corresponding position","0"
"231","565558","jobfind","Alumni/High School","3"
"232","565560","jobfind","Degree A/T I","6"
"233","565561","jobfind","Experience in the retail sector","0"
"234","565561","jobfind","Indefinite contracts","0"
"235","565561","jobfind","Competitive pay package","0"
"236","565562","jobfind","fulfilled military obligations","0"
"237","565562","jobfind","diploma in motor vehicle","4"
"238","565562","jobfind","second-class amateur services","0"
"239","565563","jobfind","Work experience in a corresponding position","0"
"240","565564","jobfind","Previous experience in a secretarial position or other relevant position (though not required)","0"
"241","565565","jobfind","Degree in Electrical Engineering (will be considered)","6"
"242","565565","jobfind","Previous experience in the industry (will be considered)","0"
"243","565570","jobfind","Previous service in the field of interior decoration and furniture construction","0"
"244","565572","jobfind","Graduate/School of Economics or Accounting","6"
"245","565572","jobfind","Previous service to a commercial company","0"
"246","565573","jobfind","High School Diploma","4"
"247","565573","jobfind","Fulfilled Military Obligations","0"
"248","565574","jobfind","At least 2 years working experience in a similar position","0"
"249","565574","jobfind","Work experience in billing will be assessed additionally","0"
"250","565575","jobfind","Desired experience in a corresponding position","0"
"251","565576","jobfind","H/ MS car diploma holder (assuming 'h/ ms car' is a typo for 'high school or master's degree')","5"
"252","565579","jobfind","1-2 years experience in a corresponding position","0"
"253","565579","jobfind","Diploma in driving","3"
"254","565579","jobfind","High school certificate","3"
"255","565581","jobfind","previous experience working in a supermarket","0"
"256","565586","jobfind","Driving license B category","2"
"257","565586","jobfind","Driving license B category","2"
"258","565587","jobfind","Proven experience in a relevant administrative position/HR position","0"
"259","565587","jobfind","University degree in Business Administration or related field","6"
"260","565599","jobfind","Graduate technical school","4"
"261","565599","jobfind","Professional license to work in shifts","3"
"262","565601","jobfind","Pre-service and experience in a similar position","0"
"263","565603","jobfind","Previous experience in facilities management","0"
"264","565606","jobfind","Desireed experience in respective location","0"
"265","565606","jobfind","Desireed experience in respective location","0"
"266","565609","jobfind","High school graduate A-level graduate I.E.K. will be preferred","4"
"267","565609","jobfind","Previous experience in sales or luxury items sales","0"
"268","565613","jobfind","Experience in respective positions","0"
"269","565616","jobfind","Graduate","6"
"270","565616","jobfind","Vehicle holder (second-class)","3"
"271","565616","jobfind","At least 4 years of work experience in building projects","0"
"272","565617","jobfind","Graduate A.E.I. holder of a diploma","5"
"273","565617","jobfind","Vehicle B class","3"
"274","565621","jobfind","Pre-service in a mobile phone store (preferred)","2"
"275","565627","jobfind","Pre-service experience in a corresponding location in a hotel complex","0"
"276","565633","jobfind","Previous experience in a corresponding restaurant with a great workload","0"
"277","565633","jobfind","Full education guidance to business top standards","4"
"278","565634","jobfind","Graduates","6"
"279","565634","jobfind","Graduates of technical schools","4"
"280","565638","jobfind","Lifting equipment handling license","2"
"281","565638","jobfind","Previous service in a corresponding position","0"
"282","565643","jobfind","Experience in a corresponding position","0"
"283","565644","jobfind","Department of Mechanical Engineering or Electrical Engineering degree","6"
"284","565644","jobfind","Optional: 3 years of experience in H/M with excellent knowledge of AutoCAD, 4M computer and design programs, and MS Office","0"
"285","565647","jobfind","Driving qualifications (Category IV and EI)","2"
"286","565647","jobfind","E-Tachograph card","0"
"287","565650","jobfind","Necessary experience in a similar location in a restaurant or hotel","0"
"288","565651","jobfind","1 year of experience in the sale of womens clothing","0"
"289","565652","jobfind","Graduates of technical electrical schools (EPA L I EK TE I)","4"
"290","565652","jobfind","At least 3 years experience in a corresponding position","0"
"291","565652","jobfind","Driver's license","2"
"292","565655","jobfind","Previous experience in a similar role or industry","0"
"293","565656","jobfind","High school certificate","3"
"294","565656","jobfind","For men: military obligations fulfilled","0"
"295","565659","jobfind","Higher education","6"
"296","565661","jobfind","Graduate degree","7"
"297","565661","jobfind","At least 3 years of experience in a corresponding position","0"
"298","565661","jobfind","Driver's license","2"
"299","565663","jobfind","Certificate of Machine Independent Cubism","5"
"300","565663","jobfind","Fulfilled military obligations","0"
"301","565676","jobfind","At least 3 years of professional experience in subversive wear","0"
"302","565676","jobfind","Fulfilled military obligations for male candidates","0"
"303","565686","jobfind","previous professional experience in retailing in a sub-store position (at least two years)","0"
"304","565688","jobfind","Degree in cooking school required","4"
"305","565688","jobfind","Experience in a similar position in a large production restaurant ala cart needed","0"
"306","565692","jobfind","Operator licence holder","3"
"307","565692","jobfind","Professional experience of at least 3 years in project machinery","0"
"308","565692","jobfind","Completed military obligations","0"
"309","565697","jobfind","Security license is required","3"
"310","565700","jobfind","Experience in hotels or restaurants with high gastronomy","0"
"311","565704","jobfind","Degrees in Higher Education and Training","6"
"312","565705","jobfind","Second-class driver's license","2"
"313","565705","jobfind","Mini van/sentan special license","3"
"314","565705","jobfind","Required qualifications: second-class drivers license, mini van / sentan special license, white criminal register","0"
"315","565707","jobfind","Minimum 2 years of experience","0"
"316","565709","jobfind","High school graduate","4"
"317","565710","jobfind","Previous experience in retail or similar field","0"
"318","565715","jobfind","Pre-service experience","0"
"319","565720","jobfind","Previous experience in the tourism sector (hotels, tourist accommodation)","0"
"320","565721","jobfind","Health book","0"
"321","565721","jobfind","Pre-service in a corresponding position for at least 2 years","0"
"322","565721","jobfind","Health book","0"
"323","565721","jobfind","Any seminars considered as additional qualifications","0"
"324","565722","jobfind","necessary experience","0"
"325","565729","jobfind","Pre-service in a similar position","0"
"326","565730","jobfind","Experience in a seafood restaurant","0"
"327","565733","jobfind","At least 2 years in a similar position","0"
"328","565734","jobfind","Degree in Higher Education and Training","7"
"329","565734","jobfind","Certification by EGT (desired)","4"
"330","565738","jobfind","Previous experience in a similar role","0"
"331","565739","jobfind","High school certificate","3"
"332","565739","jobfind","Desired experience in a corresponding position","0"
"333","565740","jobfind","Previous experience as a tour guide","0"
"334","565741","jobfind","Accounting degree or Economics","6"
"335","565741","jobfind","Pre-service 1-2 years in a corresponding position","0"
"336","565742","jobfind","Desired experience in a corresponding position","0"
"337","565743","jobfind","Previous service in a sales or product promotion role","0"
"338","565743","jobfind","At least 1 year experience","0"
"339","565745","jobfind","Mechanical/Electronic Engineering degree or equivalent qualification","6"
"340","565748","jobfind","Previous experience in car wash will be assessed","0"
"341","565754","jobfind","Desired experience in a corresponding position","0"
"342","565756","jobfind","previous experience as a waiter","0"
"343","565757","jobfind","Previous service in nutrition facilities","0"
"344","565757","jobfind","Accommodation","2"
"345","565758","jobfind","Degree (not specified)","6"
"346","565758","jobfind","Prior service at least three years in a corresponding position","0"
"347","565759","jobfind","Experience in manicure and pedicure facilities","0"
"348","565760","jobfind","At least high school diploma","4"
"349","565761","jobfind","Previous sales experience","0"
"350","565764","jobfind","1-2 years in a corresponding position","0"
"351","565764","jobfind","Experience in an internet cafe store (will be appreciated)","0"
"352","565764","jobfind","Studies in the department of Business Administration, Economics or Informatics (will be considered as an additional qualification)","5"
"353","565766","jobfind","1-2 years in a corresponding position","0"
"354","565766","jobfind","Experience in an internet cafe store (will be appreciated)","0"
"355","565766","jobfind","Studies in the Department of Business Administration, Economics or Informatics (will be considered an additional qualification)","5"
"356","565767","jobfind","Necessary experience in a corresponding position for Chef","0"
"357","565767","jobfind","Desirable experience for Assistant Cook","0"
"358","565768","jobfind","Graduate or graduate of the Greek language","4"
"359","565769","jobfind","Proven work experience as Warehouse Manager at least 3 years","0"
"360","565772","jobfind","3 years experience in a similar position","0"
"361","565776","jobfind","Degree in cooking school","4"
"362","565776","jobfind","Previous service at least 4 years experience in fish and seafood facilities","0"
"363","565777","jobfind","1 year's experience in clothing - fashion","0"
"364","565780","jobfind","2 years in B2B sales","0"
"365","565780","jobfind","Ideal candidate has experience in the furniture industry","0"
"366","565782","jobfind","At least 1 year in a corresponding position","0"
"367","565782","jobfind","Graduate in Tourism School (considered an extra qualification)","5"
"368","565783","jobfind","Pre-service in a corresponding position","0"
"369","565784","jobfind","At least 2 years experience in a la carte restaurant","0"
"370","565784","jobfind","Graduate/Cooking School highly appreciated","4"
"371","565787","jobfind","Armed obligations (implying previous military or law enforcement experience)","0"
"372","565789","jobfind","Car license","0"
"373","565789","jobfind","Age: over 23 years old","0"
"374","565789","jobfind","Driving license","2"
"375","565790","jobfind","At least 3 years of experience at a corresponding position","0"
"376","565791","jobfind","Previous experience in storage or related environment (desirable but not necessary)","0"
"377","565791","jobfind","Degree (second-class benefits)","6"
"378","565792","jobfind","Secondary school diploma","3"
"379","565792","jobfind","Pre-service in industry (considered an additional qualification)","3"
"380","565793","jobfind","2 years of experience in a related field","0"
"381","565794","jobfind","High school diploma","4"
"382","565794","jobfind","Fulfilled military obligations","0"
"383","565795","jobfind","Pre-service in a corresponding position for at least 2 years","0"
"384","565795","jobfind","Driver's degree/School of Tourist Professions (IEK TE) highly appreciated","4"
"385","565796","jobfind","Euphrates degree A E I","6"
"386","565797","jobfind","Alumni qualifications","3"
"387","565798","jobfind","Car registration","0"
"388","565798","jobfind","Machine diploma qualifications as 125cc substantially necessary","5"
"389","565798","jobfind","Car registration","0"
"390","565799","jobfind","Pre-service in a similar position or warehouse environment","0"
"391","565799","jobfind","Driver's license (second class)","2"
"392","565799","jobfind","Fulfilled military obligations","0"
"393","565800","jobfind","License for electric lifting forklift machine (Clark)","4"
"394","565800","jobfind","High school diploma","4"
"395","565800","jobfind","Experience in a corresponding position","0"
"396","565801","jobfind","Previous service in a similar position for at least 3 years","0"
"397","565801","jobfind","Previous service in the food industry will be considered an additional benefit","0"
"398","565802","jobfind","Pre-service experience in the corresponding location","0"
"399","565802","jobfind","Facilities accommodation","2"
"400","565802","jobfind","Food insurance","0"
"401","565803","jobfind","High school certificate","3"
"402","565803","jobfind","Desired experience in a corresponding position","0"
"403","565806","jobfind","Peripheral Computers, Laptops, Printers","2"
"404","565806","jobfind","Degree in IT or Technology Direction","7"
"405","565806","jobfind","Similar position experience will be assessed","0"
"406","565807","jobfind","drivers license","2"
"407","565808","jobfind","License to drive","2"
"408","565808","jobfind","Degree in higher or middle school of electrical sector","5"
"409","565808","jobfind","Professional experience in maintenance or construction of professional buildings","0"
"410","565809","jobfind","Drivers license","2"
"411","565809","jobfind","Previous service in a corresponding position","0"
"412","565809","jobfind","Corresponding degree or certification","6"
"413","565809","jobfind","Previous experience as an electrician or electronics specialist","0"
"414","565811","jobfind","Previous service in a corresponding position","0"
"415","565812","jobfind","Work experience in the body industry","0"
"416","565813","jobfind","Previous service in a corresponding location","0"
"417","565813","jobfind","Full diet","0"
"418","565814","jobfind","Previous experience in service quality","0"
"419","565815","jobfind","High school graduate","4"
"420","565815","jobfind","Resident of nearby areas","0"
"421","565815","jobfind","Diploma B class","4"
"422","565817","jobfind","Immediate availability","0"
"423","565819","jobfind","5 years of experience","0"
"424","565819","jobfind","Drivers license (second-class)","2"
"425","565823","jobfind","Degree in Civil Engineering or related field","6"
"426","565823","jobfind","5 years experience in the construction of private building projects","0"
"427","565825","jobfind","Degree in Electrical or Business Administration (A.E.I. - I.E.E.E.)","6"
"428","565825","jobfind","4 years professional experience in a similar position or in the industry","0"
"429","565828","jobfind","Graduate IE (Industrial Engineering)","6"
"430","565828","jobfind","At least three years of experience in a corresponding job","0"
"431","565829","jobfind","Driving license","2"
"432","565829","jobfind","Department of Materials Science or Chemical Engineering degree","6"
"433","565829","jobfind","Work experience in the field of sales","0"
"434","565830","jobfind","Pre-service qualifications not necessary, but desired","3"
"435","565831","jobfind","At least 6 years of experience in a corresponding position or retail/consumer space","0"
"436","565831","jobfind","High school certificate graduate (A E I or TE I considered an additional qualification)","4"
"437","565835","jobfind","Pre-service in respective position","0"
"438","565837","jobfind","Pre-service in a similar location in a hotel or similar environment","2"
"439","565837","jobfind","Bachelor's Degree (not specified)","6"
"440","565838","jobfind","Pre-service experience in a relative position","0"
"441","565841","jobfind","2 years in a corresponding position","0"
"442","565843","jobfind","Senior or graduate degree in Telecommunications or Informatics","7"
"443","565843","jobfind","Previous experience in similar roles","0"
"444","565846","jobfind","Pre-service experience: 2-3 years in a corresponding department","0"
"445","565848","jobfind","Sales or customer service experience desired","0"
"446","565849","jobfind","Desired Experience","0"
"447","565849","jobfind","Diploma of Parrot Crane","5"
"448","565851","jobfind","Bachelor's degree in Finance or a related discipline","6"
"449","565851","jobfind","Postgraduate declaration in Finance or a related discipline","7"
"450","565851","jobfind","Any related professional experience will be associated with an asset","0"
"451","565855","jobfind","At least 2 years of experience in a corresponding location","0"
"452","565855","jobfind","Graduate/School of Tourist Professions (highly appreciated)","5"
"453","565856","jobfind","Degree in Law (preferably)","6"
"454","565856","jobfind","At least 6 months experience in a corresponding position","0"
"455","565857","jobfind","Senior or graduate degree in Telecommunications or Informatics","7"
"456","565857","jobfind","Work experience in similar objects","0"
"457","565861","jobfind","At least 2-3 years experience in sales and service","0"
"458","565862","jobfind","Certifications of optical fibres or copper wiring","4"
"459","565862","jobfind","Degree in Electrical Telecommunications Informatics or other related sectors","6"
"460","565862","jobfind","Fulfilled military obligations for male candidates","0"
"461","565863","jobfind","Graduate school of technology direction","7"
"462","565863","jobfind","At least 2 years experience in a corresponding position","0"
"463","565865","jobfind","Previous experience in hospitality industry","0"
"464","565866","jobfind","Pre-service experience in the field of focus","0"
"465","565866","jobfind","Pre-service experience in the field of focus","0"
"466","565866","jobfind","Additional qualification (not specified)","0"
"467","565867","jobfind","Bachelor's degree or diploma in Hospitality/Tourism","6"
"468","565867","jobfind","Minimum 2 years experience in a similar position at a luxury hotel","0"
"469","565870","jobfind","At least 2 years of experience in a corresponding position","0"
"470","565871","jobfind","Degree in Hospitality/Tourism","6"
"471","565871","jobfind","2-3 years minimum experience as Hotel Operations Manager in a luxury boutique hotel","0"
"472","565871","jobfind","Previous working experience at front desk, reservations department, or sales-oriented role","0"
"473","565872","jobfind","previous experience","0"
"474","565873","jobfind","Previous experience in a similar maintenance position","0"
"475","565874","jobfind","In economics or accounting or business administration or related field","5"
"476","565874","jobfind","1-2 years experience in technical accounting company and inventory of construction projects","0"
"477","565875","jobfind","Up to 2 years of experience in place houseman in a 4 or 5 star hotel","0"
"478","565876","jobfind","Required experience at a similar post","0"
"479","565876","jobfind","Knowledge/Computer Diploma","5"
"480","565877","jobfind","Full employment","0"
"481","565877","jobfind","Insurance","0"
"482","565878","jobfind","High school graduate or equivalent educational institution","3"
"483","565878","jobfind","Previous experience in a fund position or customer service","0"
"484","565880","jobfind","Degree in Tourism School","6"
"485","565880","jobfind","Previous service of at least 2 years in a corresponding position","0"
"486","565881","jobfind","2 years of experience necessary","0"
"487","565884","jobfind","Diploma in technical school or equivalent professional education in electrical engineering.","5"
"488","565884","jobfind","License to exercise an electrician profession.","4"
"489","565885","jobfind","Previous experience as a bell boy / groom in a luxury hotel (will be met as an asset)","0"
"490","565886","jobfind","Pre-service in a corresponding position over 3 years","0"
"491","565888","jobfind","C-class qualifications","3"
"492","565892","jobfind","Previous service desired but not necessary","0"
"493","565893","jobfind","2 years of experience in the hospitality industry","0"
"494","565894","jobfind","Engine license","3"
"495","565895","jobfind","High School Certificate","4"
"496","565895","jobfind","Armed military obligations for male candidates will be assessed as a priority","0"
"497","565895","jobfind","Previous sales experience","0"
"498","565896","jobfind","Car possession (for employee attendance)","0"
